What is the process by which an organism develops from a fertilized egg?,Embryogenesis,Metamorphosis,Differentiation,Proliferation,1
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,1
In physics what is the law of conservation of energy?,Energy cannot be created or destroyed only transformed,Energy is constantly increasing,Energy can be created at will,Energy can only be destroyed,1
What is the unit of electrical resistance?,Ohm,Ampere,Volt,Watt,1
Which planet is known as the 'Morning Star' or 'Evening Star'?,Venus,Mars,Jupiter,Saturn,1
What is the function of the human cerebellum?,Coordination and balance,Memory storage,Language processing,Emotional control,1
Which process involves the conversion of light energy into chemical energy in plants?,Photosynthesis,Respiration,Transpiration,Fermentation,1
What is the chemical formula for methane?,CH4,CO2,H2O,N2,1
In chemistry what is Avogadro's number?,6.022 x 10^23,3.14159,2.71828,9.81,1
What is the main function of red blood cells in the human body?,Transporting oxygen,Digesting food,Fighting infections,Producing hormones,1
What is the law of inertia?,An object at rest stays at rest and an object in motion stays in motion,Every action has an equal and opposite reaction,The force of an object is equal to its mass times acceleration,Energy cannot be created or destroyed,1
What is the Earth's approximate axial tilt?,23.5 degrees,10 degrees,45 degrees,0 degrees,1
What is the primary function of the respiratory system?,Gas exchange,Nutrient absorption,Waste elimination,Circulation,1
What is the speed of sound in air at sea level?,343 meters per second,150 meters per second,760 meters per second,1125 feet per second,1
In chemistry what is the pH scale used to measure?,Acidity or alkalinity,Temperature,Pressure,Density,1
What is the process by which an organism develops from a fertilized egg?,Embryogenesis,Metamorphosis,Differentiation,Proliferation,1
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,1
What is the unit of electrical resistance?,Ohm,Ampere,Volt,Watt,1
Which planet is known as the 'Morning Star' or 'Evening Star'?,Venus,Mars,Jupiter,Saturn,1
What is the function of the human cerebellum?,Coordination and balance,Memory storage,Language processing,Emotional control,1
Which process involves the conversion of light energy into chemical energy in plants?,Photosynthesis,Respiration,Transpiration,Fermentation,1
What is the chemical formula for methane?,CH4,CO2,H2O,N2,1
What is the main function of red blood cells in the human body?,Transporting oxygen,Digesting food,Fighting infections,Producing hormones,1
What is the Earth's approximate axial tilt?,23.5 degrees,10 degrees,45 degrees,0 degrees,1
What is the primary function of the respiratory system?,Gas exchange,Nutrient absorption,Waste elimination,Circulation,1
What is the speed of sound in air at sea level?,343 meters per second,150 meters per second,760 meters per second,1125 feet per second,1
What is the process by which an organism develops from a fertilized egg?,Embryogenesis,Metamorphosis,Differentiation,Proliferation,1
What is the process of nuclear fusion in the sun's core called?,Thermonuclear fusion,Photodisintegration,Beta decay,Quantum tunneling,1
What is the Heisenberg Uncertainty Principle?,It is impossible to simultaneously know the precise position and momentum of a particle,All energy is quantized,Entropy always increases in a closed system,The speed of light is constant,1
Which subatomic particle is responsible for the strong nuclear force?,Gluon,Muon,Neutrino,Positron,1
What is the primary function of the Higgs boson?,To give mass to other particles,To carry the electromagnetic force,To mediate the strong nuclear force,To generate dark energy,1
What is the Doppler effect in physics?,Change in frequency or wavelength of a wave in relation to an observer,Quantization of energy levels,Scattering of light by particles,Formation of interference patterns,1
What is the concept of entanglement in quantum physics?,Correlation between particles that can exist over large distances,Quantum tunneling,Wave-particle duality,Spontaneous symmetry breaking,1
What is the significance of Schr?dinger's cat thought experiment?,Illustrates the concept of superposition in quantum mechanics,Demonstrates the conservation of energy,Explains the principles of statistical mechanics,Describes the dual nature of light,1
What is the purpose of the Large Hadron Collider (LHC)?,To explore particle physics and discover new particles,To generate energy for industrial use,To study dark matter in space,To monitor seismic activity,1
What is the Casimir effect?,Force between two closely spaced uncharged plates due to quantum vacuum fluctuations,Increase in temperature when a gas is compressed,Change in color of an object due to temperature,Change in,1
